Review,Category,Drug
But since I started alternating I haven't had a seizure,Effective,Phenytoin
"About the Half Life of Phenytoin, about Sudden unexpected death in epilepsy (SUDEP)",Adverse,Phenytoin
I think it's time to switch back to what works,Ineffective,Phenytoin
"""Evening,
 I have been on this medication since I was 12 years of age",Other,Phenytoin
Why do doctors or neurologists NOT tell you about Epilepsy,Other,Phenytoin
Those who have Epilepsy do not necessarily know or at all ANYTHING about that cause people in general think you are WEIRD,Other,Phenytoin
SICK,Adverse,Phenytoin
"""I'm 24 years old and started to have seizures about 2 1/2 years ago",Other,Phenytoin
I had problems at first accepting that I was an epileptic and waited until i had my 5th seizure(grand mal) before I would let the doctor put me on medication,Other,Phenytoin
I started on 300mg of phenytoin a day and went up to 500mg a day,Other,Phenytoin
First it was too little and then it was too much and really hurting my liver,Other,Phenytoin
"Now I'm on 400-500mg a day alternating, which can be a pain in the butt trying to keep track of what dose I need",Other,Phenytoin
"It does work!""",Effective,Phenytoin
"""I saw one of your members mention that since she had been taking dilantin she has tenderness or soreness in her breasts, this was very interesting to me because my husband is now on dilantin (after brain surgery for a precaution) and he too has very sore nipples",Adverse,Phenytoin
This is the only different drug he is taking,Other,Phenytoin
He is a disabled Vietnam vet and takes 23 medications and it has only been since they added the dilantin did his breasts become sore,Other,Phenytoin
"""I have been taking Dilantin for about two weeks and so far no problems, hopefully I won't have any",Effective,Phenytoin
"""I have been on dilantin since I was about 17",Other,Phenytoin
It has been working a lot better than the depekene I was taking before,Effective,Phenytoin
"When I was pregnant and started to gain a lot of weight, My doctor had to increase the dose",Other,Phenytoin
I am 31 now and my seizures are very well controled while on dilantin,Effective,Phenytoin
"""I have had grand mal seizures since I was 9 years old and was involved in a car accident",Other,Phenytoin
"I have taken Dilantin for over 50 years, with good results",Effective,Phenytoin
It has controlled my seizures pretty well until recently,Effective,Phenytoin
"I was diagnosed with COPD 2 years ago, and in that time, I have been having seizures every 3-6 months",Other,Phenytoin
"My doctor switched me to Keppra 6 months ago, and in that time, I have had at least 1 seizure a month",Other,Phenytoin
"""I am 53 and have been taking 500 mg of Dilantin for over 7 years",Other,Phenytoin
I have had over 10 grand-mal seizures prior to taking Dilantin,Other,Phenytoin
I have not had any seizures since I go every 6 months to check Dilantin levels all good,Effective,Phenytoin
Don't know what I would do without it,Effective,Phenytoin
I can feel a little spacey if I don't take it on time I take all at once in the morning,Other,Phenytoin
"""I use 100mg once a day to control anxiety",Effective,Phenytoin
It works well,Effective,Phenytoin
People at work have noticed I am much calmer at work,Effective,Phenytoin
"""I was put on Dilantin a month ago after having a 30 minute Grand-mal seizure",Other,Phenytoin
