Review,Category,has_adverse
"""Works very well to prevent symptoms of Acute Mountain Sickness with no perceived side effects",Effective,
This actually speeds up the bodys acclimitization process and doesn't just treat the symptoms,Effective,
"""I am taking carbamazepine for seizures, but found that I was gaining a lot of weight (22 pounds in 2 months)",Adverse,
After doing much search on the web I found an article where a doctor did research on 15 patients that had weight gain on carbamazepine and found that by taking the Acetazolamide the patients were able to lose the weight they had gained and maintained the weight lost,Effective,
"Today is day 2 on the Acetazolamide and I am sick to my stomach, feeling a bit dizzy and withdrawn",Adverse,
"While the medicine works amazingly well on the headaches, my brain basically turns to mush when I'm on it and I can't function well enough to do my job or understand my school work",Adverse,
"I also have really annoying tingling feelings in my hands, feet and lips that hasn't yet gone away",Ineffective,
"""Extreme increase in high BLOOD pressure to the point that vein in my forehead enlarged & was pounding so hard it hurt & I was very frightened",Adverse,
05mg of clonazepam which minimized I'mworst of pounding/pulsing in vein in forehead directly over /above left eye,Effective,
"Did not inform me of fact that I could not take vitamins and should supplement with potassium & that sudden discontinuation of medication is NOT advisable
EXTREMELY ADVERSE & FEARFUL REACTION",Adverse,
REFUSE TO CONTINUE,Ineffective,
"""Very good",Effective,
"Headache has gone, feeling much less foggy and dizzy",Effective,
Everything's going well,Effective,
I just want everyone who's scared of taking it because of the horror stories to realise it's not bad,Effective,
"This is a mild diuretic, and as such is very safe for most people",Effective,
"The tingling is normal - apparently Vit C can help, and I've taken one this morning and had no tingling",Effective,
"I've had it 3 years now, diagnosed for 1 year, and on meds for 2 days, and I can feel a massive improvement",Effective,
Diamox is very effective to reduce the pressure in the eye but the problem is side effects,Effective,
"I had no appetite, constipation and hearing loss",Effective,
"""I was experiencing blurred vision, fatigue, loss of appetite, lack of concentration and an increased amount of severe headaches",Adverse,
After being checked for everything under the sun in blood work I was told I was fine,Effective,
About a month later the headaches and the memory and concentration issues came along with more asthma attacks,Ineffective,
He then sent me for a spinal tap which revealed I had pressure in my head double the normal,Adverse,
"I have had no appetite, consistent nausea, and I throw up on a regular basis",Adverse,
"""I was diagnosed with Pseudotumor Cerebri 2 weeks ago after experiencing blurry vision and dizziness for sometime",Adverse,
I got an eye exam done and they saw I had a swollen optic nerve,Adverse,
I noticed within about 2 days of taking the medication the blurred vision is completely gone,Effective,
This helped getting me used to the side effects so far I have the tingling in fingers and sometimes mouth,Effective,
I pee alot but am trying to lose weight so drinking lots of water and eating healthy and no pop is likely helping to,Effective,
"""I was diagnosed with pseudo tumor cerebri almost two years ago now and I've had a spinal tap done after a year of crippling painful headaches, blurred vision, bright red inflamed eyes, dizziness, the spinal tap unfortunetly went wrong and I had a spinal leakage from the high inter cranial pressure with an absolute horrible spinal headache so I had to have a blood patch then put on acetazolimide with the painful tingling sensations on my face arms and feet I couldn't sleep and I pee all night",Adverse,
"I take 1500mg of it 3 pills a day and although it's helped clear my eyes my headaches, the wind tunnel noise in my ears of the fluid is still very loud I'm totally off balance and I have forgetfulness all the time not to mention I'm always tired",Adverse,
"Although I have had tingling in my hands and feet as well as lethargy, the pressure behind my eyes has already started to go down",Effective,
My ophthalmologist was very pleased today with the optic nerve scan and said there has been decrease of pressure in both eyes,Effective,
"A little tingle here or there and a bit of sleepiness is worth saving my vision! So far, I'm a happy girl!""",Effective,
Very effective in lowering pressure but side affects were trouble some,Effective,
"It makes you very tired, contiptated, dizzy, lack if appetite, some temporary 
hearing issues in one ear",Adverse,
A few days after stopping pills everything was back to normal,Ineffective,
It definitely works but side effects this time worst of all,Adverse,
"Am dizzy and fell, pins and needles hands, feet and face",Adverse,
Nausea,Adverse,
"""Its a good medicine to decrease the Eye pressure",Effective,
"While taking this tab - depression and dark thoughts are more and I have no interest in food, and also my hands tickle like they are in water",Adverse,
"Now I've stopped the medicine, my eye pressure become normal and constant",Ineffective,
After stopping the medicine it takes a few days to decrease all the worst symptoms,Effective,
This medication has worked wonders,Effective,
"I did have tingling and numbness in my feet, finger, nose, lips but that eased off by taking Vitamin C or eating oranges, (this was recommended by my doctor and it works)",Effective,
Now the tingling and numbness are gone,Effective,
I don't know what I would have done without this medication,Effective,
"The main side effect for me is the eggy taste inmy mouth, constant loose bowels, numbness in my hands and feet and face, feeling cold, tired and week",Adverse,
My vision would go in and out for about 2-5 seconds at a time,Adverse,
"I finally seen the ophthalmologist who said my optic nerves were swollen & referred me to a neurologist who had me do an MRI, 1 spinal tap (where my pressure was so high at 44, so they relieved some of the spinal fluid down to 20), then they finally decided to put me on Acetazolamide 500mg ER",Effective,
The only cons were the metallic taste and tingling,Adverse,
"""For lowering pressure the medication is very effective, however the side effects are a nightmare",Adverse,
"I get tingling sensations everywhere, dehydration, increased urine, drowsiness",Adverse,
It doesn't help that I'm also a teenager who needs to concentrate on my studies so it's a miracle I managed to get through school recently,Effective,
