Review,Category
"""This has worked better than any other medicine I have used to treat mania",Effective
I only had slight fatigue when starting the medicine but it disappeared after a few weeks,Effective
"However, after the second dose, I noticed that my explosiveness was gone",Effective
My disproportionate rage to the event had disappeared,Effective
I love this medicine and will never get off of it,Effective
"I take 200mg twice a day, but it feels like it lasts around 6 hours in me",Ineffective
It's great! AND I don't feel drugged at all,Effective
It has been great,Effective
I have had two healthy children and maintained my medication during my pregnancies and had no problems,Effective
This drug worked but I continually had to keep increasing the dose from 200mg to 600mg and on occasion 800 to 900 on bad days,Effective
"Have found great success with this drug combined with an acupuncture regimen, this combo has stopped the continued progression/escalation of pain and has me living on about 600 mg daily sometimes as low as 400mg",Effective
The reduction has helped with drowsiness and I am not quite as scared regarding the continual progression/elevation of pain and meds,Effective
"I was put on 300 mgs twice a day and it didn't help at all and the attacks were just getting more severe and frequent, so the neurologist upped it to 900mgs a day",Ineffective
Still no relief! I have been on two other kinds and pretty much have to rely on pain medication which doesn't even relieve all the pain,Ineffective
"""I have been on carbamazepine for 17 years and find it keeps my mood stabilized and works best as an anti-manic",Effective
It is not much help with depression,Ineffective
"I had tried Lithium, Depakote, and a few of the atypical antipsychotics prior to carbamazepine and the thing I loved about this drug is I did not gain weight on it, in fact after coming off Depakote and on to this I lost 40 pounds",Effective
So for me it is weight neutral,Effective
"My serum sodium does run slightly low, and I am sometimes tired, but that is the mainstay with psychiatric drugs",Adverse
"The initial breaking in phase was rough, about 3 months to adjust to the medication, but with the weight loss after Depakote",Adverse
"""This medication is saving my life! It really stabilizes my mood",Effective
Before I started taking carbamazepine I would experience horribly crippling depression in the afternoons combined with very strong urges to self medicate with alcohol or narcotics,Effective
"Now I feel about the same all day, never really up and never really down",Effective
"I have only noticed two side effects: nausea, taking it with food fixes that, and increased sleep",Adverse
I sleep longer than I did before and wake up feeling tired,Adverse
"Actually it helps me to sleep through the night, which isn't all bad",Effective
I have found it to control my seizures very well,Effective
"I had initial fatigue, head aches, but they subsided after the first couple months",Effective
"The reason I rated it at 9 is because I have not tried any other drugs, primarily for fear of losing the control Tegretol provides currently",Effective
"""I found ever since I've been on tegretol my seizures have stopped""",Effective
"""Extreme fatigue, dark urine, yellow eyes, severe constipation",Adverse
"""My problem started with severe uvetis/iritis (inflammation of the iris) for which I was under a eye specialist care",Adverse
I lost a lot of vision the the left eye (it was in both eyes),Adverse
I continued to have severe pain around the left eye that was incapacitating,Ineffective
"after much pain, agony, & suffering",Adverse
I have not had a seizure for 19 years,Effective
"The next day, I had a grandmal seizure and the ambulance came",Adverse
"Tegretol really does work wonders and I hope to be seizure free the rest of my life, if I can faithfully stay on this medicine",Effective
Just had a bad 3 months and it took 1600mg for 3 weeks to control it,Effective
"For some strange reason, 1 x400mg tablet is far more effective than 4x100mg tablets",Effective
"""I took Epitol for a while and loved it",Effective
"""I have been on Tegretol for only 2 weeks and it gave me much relief",Effective
Neurontin and Topomax did not work for me,Ineffective
Only side effect of Tegretol is sleepiness,Adverse
"""I've been taking tegretol close to twenty years now I found it fantastic for my moods but I've just found out it can also make the sodium in your blood go low",Effective
"""It took me 2 years to be diagnosed and as soon as I began taking Tegretol I began feeling less pain",Effective
I was taking 800mg but the nausea was too much,Adverse
If I ever miss a pill I will begin to have pain but while taking it I am almost 100%,Adverse
"""Had a hard time putting thoughts together",Adverse
I was hurting extremely bad,Adverse
Woke me up all through the night,Adverse
no relief,Ineffective
"""Tegretol is very effective for my mood swings and hallucinations",Effective
It helps slow the racing thoughts and hyperactivity and thinking people are out to get me and helps with hearing voices,Effective
"When I do not take it, everyone can notice a huge difference in how I act",Effective
"""No good made me with no energy, zero libido, foggy thoughts, drowsiness, forgetfulness, made me more irritable and after a few weeks got the feeling I was going to snap and loose it",Adverse
Got taken off this medicine and changed to Lamictal and things got a lot better,Ineffective
