,Review,Category,Drug,category_id
0,But since I started alternating I haven't had a seizure,Effective,Phenytoin,0
1,"About the Half Life of Phenytoin, about Sudden unexpected death in epilepsy (SUDEP)",Adverse,Phenytoin,1
2,I think it's time to switch back to what works,Ineffective,Phenytoin,2
3,SICK,Adverse,Phenytoin,1
4,"It does work!""",Effective,Phenytoin,0
5,"""I saw one of your members mention that since she had been taking dilantin she has tenderness or soreness in her breasts, this was very interesting to me because my husband is now on dilantin (after brain surgery for a precaution) and he too has very sore nipples",Adverse,Phenytoin,1
6,"""I have been taking Dilantin for about two weeks and so far no problems, hopefully I won't have any",Effective,Phenytoin,0
7,It has been working a lot better than the depekene I was taking before,Effective,Phenytoin,0
8,I am 31 now and my seizures are very well controled while on dilantin,Effective,Phenytoin,0
9,"I have taken Dilantin for over 50 years, with good results",Effective,Phenytoin,0
10,It has controlled my seizures pretty well until recently,Effective,Phenytoin,0
11,I have not had any seizures since I go every 6 months to check Dilantin levels all good,Effective,Phenytoin,0
12,Don't know what I would do without it,Effective,Phenytoin,0
13,"""I use 100mg once a day to control anxiety",Effective,Phenytoin,0
14,It works well,Effective,Phenytoin,0
15,People at work have noticed I am much calmer at work,Effective,Phenytoin,0
16,I haven't had anOther seizure yet but can't stand the side effects,Adverse,Phenytoin,1
17,I'm so dizzy and light headed,Adverse,Phenytoin,1
18,I have a hard time walking and keeping my balance,Adverse,Phenytoin,1
19,I also am having a hard time concentrating and remembering things,Adverse,Phenytoin,1
20,"""It's been only a week I am on it , reduced my anxiety, it reduced unwanted electrical activity in both hemispheres(was irritating) its life saver for me, SE : gum growth ,low vitamin d causing joint pain""",Effective,Phenytoin,0
21,I was put on Tegretol CR but the side effects were terrible so now I'm on 300mg of dilantin and haven't had a seizure since,Effective,Phenytoin,0
22,Unfortunately since my first one my sleep has been terrible,Adverse,Phenytoin,1
23,"""I have been on Dilantin for over a decade and doing really well until recently",Effective,Phenytoin,0
24,"""It worked well in the hosptial and for a time after I left, but I developed a serious allergic reaction to it with skin rash and fever!""",Ineffective,Phenytoin,2
25,I have now been on Dilantin for 28 years and have never had a seizure while taking my meds correctly,Effective,Phenytoin,0
26,"Football was over but, I live great life with Dilantin",Effective,Phenytoin,0
