Review,Category
its definitely a miracle pill i am only at 3 weeks but ive never felt calm no racing thoughts i feel happier i only have little anxiety at this time,Effective
"
but i love the calmness all theses side effects have gone away i feel like i am living like ive never lived this medicine is amazing",Effective
great medicine its the only one that stops the agitation that comes with being too manic for too long,Effective
it keeps me from crashing after mania because the mania never peeks,Effective
i have found though that taking both together by a doctors suggestion keeps the number of episodes pretty low,Effective
good medicine though,Effective
after trying topamax for months with no relief i have been on depakote er for three months with great relief,Effective
i was having migraine headaches 17 out of 31 days a month now maybe one a month taking axert when i have pain,Effective
this medicine has been great for me,Effective
depakote has worked great for me,Effective
it totally helps with mania,Effective
takes a while but once it kicks in i felt like a whole person,Effective
its working ive been free of seizure for a long time,Effective
that seemed to be the sweet spot for me,Effective
has helped to slow down my racing thoughts and helped with some of my sleeping issues,Effective
"

i cant imagine life without depakote it has its problems but i can function again",Effective
i believe this medication is a blessing,Effective
"
my moods became level my appetite came back my sleep was restful and i felt like the me i had been missing",Effective
after 3 weeks of depakote my moods were pretty even and stable,Effective
i had a little hair loss at doses above 1000mg but its been great in stabilizing my mood swings,Effective
but the depakote is by far the most effective,Effective
everyone in my life has noticed a positive change in me,Effective
i feel so calm within,Effective
my anxiety insomnia are very much under control now,Effective
depakote er 500 has saved my life i was done with psych meds ready to just give up im so glad i have such an amazing doc,Effective
depakote er 500mg in combo with xanax 1mg 3xs per day has me back to feeling like myself again,Effective
the seizures came under control and all was well,Effective
depikote def saved my life,Effective
but no mania and very little to no depression so thankyou depikote i rate u a 10 its been a year and no mania ur a life saver i take 1500 mg though to so that might be y im so tired,Effective
ive been on depakote er once at bedtime for only 6 weeks and it has cut my migraines in half,Effective
best medicine ever for me,Effective
the only medication that clears up my head and makes me feel normal,Effective
ive been taking this for a few years and i have severe headaches often along with suffering with low back pain which is constant on my left side and nothing is soothing it,Adverse
i immediately began experiencing hallucinations visual disturbances and constant shakiness,Adverse
instant cold clammy feeling,Adverse
however i have now gone off hormones and having steady weight gain increased dizziness and some depression,Adverse
gained 20 lbs made me sick and tired,Adverse
chronic diarrhea rapid weight gain of 30 pounds shaking hands finger tremors excessive tiredness during the day lack of coordination when walking lack of concentration two thirds of my long hair fell out in clumps,Adverse
since im already overweight this caused severe back pain in which i can barely walk and my legs are numb,Adverse
after a week i started to get really bad stomach pains and feeling sick,Adverse
i gained weight and my hair fell out,Adverse
after a period of discontinuation of drug i switch to depakote and after that i have disk herniation problem and ear pain,Adverse
in only a year span i started having serious weight and back issues,Adverse
spine damage and severe chemical dependency,Adverse
i finally went to my family physician because i was bruising so badly,Adverse
the main issue i had and had to stop taking the medication was low platelet count,Adverse
stomach pain loss of appetite hair falling out and left arm pain to name a few more,Adverse
he had no relief for his headache and had tremors so bad he could not hold a fork to eat,Adverse
my husband took this for a week and he turned into a unmotivated angry heart palpitating paranoid zombie,Adverse
my moods were stabilized all right but i turned into a zombie,Adverse
the next day i began having terrible stomach pains and pains in my kidneys especially after eating,Adverse
they actually got worse and the abdominal pain would linger all day and night,Adverse
than my lower back became so painful i could hardly sit down,Adverse
after taking this for 3 months i went from 212 to 265 pounds,Adverse
after i started this medication i gained 10 pounds in 2 weeks,Adverse
into the third week became very depressed,Adverse
i gained 50 pounds in the six months i was on this i lost my hair i developed tremors that have not completely subsided i had horrible stomach problems heartburn it made me extremely lethargic libido was gone,Adverse
weight gain = 30 pounds in 3 months and pancreatitis,Adverse
i have been off of depakote for nearly a year but these side effects havent ever gone away,Ineffective
its becoming unbearable,Ineffective
ive been on it almost 6 months now and i am starting to have them as frequent as i used to,Ineffective
didnt notice anything significant,Ineffective
however it did not help with mania mood swings,Ineffective
when i took it it didnt improve my moodswings that much,Ineffective
didnt really help me,Ineffective
depakote has done nothing at all to improve my migraines,Ineffective
i am not very fond of depakote,Ineffective
depakote didnt seem to do much with my mood swings,Ineffective
it didnt really help my headaches either,Ineffective
depakote is bad,Ineffective
we have seen several improvements in her symptoms but not enough to keep her on a medication that makes her gain weight and decreases her self esteem,Ineffective
horrible i was on it for a month and quit immediately,Ineffective
im not dulled out back to my normal serene self,Ineffective
that i just cant take it any more,Ineffective
wasnt for me,Ineffective
"his body was unable to handle the level of 
depakote",Ineffective
i will never take this medication even if it saved my life,Ineffective
the visual disturbances are constant,Ineffective
my eyes never adjust to the changes in light and everything becomes a huge swirling mass of shadows,Adverse
it sometimes pulses so quickly that it looks like a strobe light,Adverse
for me it is not worth it,Ineffective
laying down is excruciating and im in the process of running test,Adverse
i have to say some of side effects to depakote are tough but the side effects to my condition is could be way worse so ive been sticking to it working through the side effects,Effective
side effects headache staring head feels funny like a electric shock nauseous,Adverse
my lips tongue are twitching,Adverse
i would have given it a 10 but sometimes a little coffee can make me get manic even though i have taken the medicine,Ineffective
depakote has really helped to get me out of the fog of mania,Effective
i dont know about anyone else but sometimes when i get manic i spiral out of control and actually experience psychosis which is terrible,Adverse
both medicines stopped her gran mal and petit mal seizures,Effective
she is no longer a joyful and energetic child but has become very lethargic and depressed,Adverse
the only problem i have had is i have gained 10 pounds in less than three months,Adverse
i take 500 er twice a day and gained 16lbs in less than 3 weeks,Adverse
works wonders for my migraine but the side effects arent worth it,Ineffective
ive been on depakote er once at bedtime for only 6 weeks and it has cut my migraines in half,Effective
still get my normal headaches as well,Adverse
so far no side effects at all,Effective
ive been struggling for almost 20 years now,Ineffective
i just cant get rid of one all the way,Ineffective
it helps with the intense mood swings negative emotions are less severe,Effective
i do not feel any side effects,Effective
i actually lost 25 pounds,Adverse
the only medication that clears up my head and makes me feel normal,Effective
also it gets rid of my migranes,Effective
the only bad thing is a few side effects,Adverse
and i was pretty lathargic at first,Adverse
i was off of it for a long time and recently was put back on it so going through side effects again but felt a difference rite away,Adverse
i have to say this drug did more harm then good and my body is very dependent on it,Adverse
i have never had any issues with my back but all of a sudden my bones started to get brittle,Adverse
then the disc herniations started happening and like a domino effect entire spine was damaged,Adverse
i see along of info on children or babies effected with their spine but apparently it can do the same for a grown adult,Adverse
great,Effective
damage done,Adverse
abnormal eeg,Adverse
lost my hair my looks weight,Adverse
severe pain all over after taking so i had to stop,Adverse
i was able to handle stress and forget that i have any depression,Effective
but on this stage after having stress my symptoms reuccured but was not severe as before,Effective
at this point i wonder if anything is going to ever help my migraines,Ineffective
all of the meds i mentioned above do not help,Ineffective
im at my wits end,Ineffective
she has gained 28 pounds,Adverse
when the dose was upped to 1500mg she had daily migraines,Ineffective
it made me feel like a zombie all day but worked well on my swings from extreme anxiety to deep depression and crying spells,Adverse
i was very tired all day and had a hard time waking up for work so we reduced to 250mg daily,Adverse
i would also occasionally feel disconnected and distant from the world but this was rare,Adverse
i dont think i have many side effects from it besides maybe trouble losing weight im very active and eat well but never seemed to get any weight off,Adverse
i would also occasionally feel disconnected and distant from the world but this was rare,Adverse
